educatorID,regionID,eName,position,subject,qualification,birthDate,sex,schoolID
61,2,Craig Stokes,Teacher,Geography,PhD,1978-10-08,Female,190
62,2,Cathy Gates,Teacher,History,Master's degree,1978-10-08,Female,315
63,4,Mr. Terry Clark DDS,Teacher,Biology,Bachelor's degree,1978-10-08,Female,278
64,2,Emily Russell,Teacher,Accounting,Bachelor's degree,1978-10-08,Male,93
65,1,John Ortega,Teacher,Biology,Bachelor's degree,1978-10-08,Female,62
66,1,Shawn White,Teacher,Sesotho,Master's degree,1978-10-08,Female,160
67,1,Alyssa Ford,Teacher,Chemistry,Diploma,1978-10-08,Male,141
68,1,Julie Delacruz,Teacher,History,PhD,1978-10-08,Female,249
69,4,Penny Wallace,Teacher,Sesotho,Master's degree,1978-10-08,Female,142
70,2,Corey Rose,Teacher,History,Diploma,1978-10-08,Female,285
71,1,Mrs. Virginia White MD,Teacher,Sesotho,PhD,1978-10-08,Male,279
72,3,Sean Bell,Teacher,Chemistry,PhD,1978-10-08,Male,95
73,2,Susan Jones,Teacher,Geography,PhD,1978-10-08,Male,49
74,2,Anita Acevedo,Teacher,Sesotho,Master's degree,1978-10-08,Male,298
75,3,Paul Martin,Teacher,Accounting,PhD,1978-10-08,Male,171
76,1,Hector Potter,Teacher,Sesotho,Master's degree,1978-10-08,Female,135
77,1,Jennifer Harrison,Teacher,Accounting,PhD,1978-10-08,Male,255
78,2,Jamie Nelson,Teacher,Mathematics,Master's degree,1978-10-08,Female,306
79,2,Elizabeth Myers,Teacher,Chemistry,PhD,1978-10-08,Male,270
80,4,Meagan Arnold,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,73
81,3,Evan Johnson,Teacher,History,PhD,1978-10-08,Female,245
82,4,Mary Adams,Teacher,History,Master's degree,1978-10-08,Female,198
83,3,William Johnson,Teacher,Accounting,Master's degree,1978-10-08,Male,256
84,2,Tina Johnson,Teacher,English,PhD,1978-10-08,Female,147
85,4,Chelsea Reid,Teacher,Chemistry,Diploma,1978-10-08,Male,292
86,3,Antonio Luna,Teacher,English,Diploma,1978-10-08,Male,179
87,1,Kimberly Thompson,Teacher,Physics,Diploma,1978-10-08,Male,60
88,2,Robert White,Teacher,Sesotho,PhD,1978-10-08,Female,85
89,2,Nicole Mejia,Teacher,Biology,PhD,1978-10-08,Male,37
90,1,Mackenzie Chapman,Teacher,Physics,PhD,1978-10-08,Male,157
91,1,Edward Brennan,Teacher,Physics,Diploma,1978-10-08,Female,240
92,3,Teresa Lawrence,Teacher,English,Master's degree,1978-10-08,Male,297
93,3,Heidi White,Teacher,English,PhD,1978-10-08,Female,92
94,2,Micheal Padilla,Teacher,Sesotho,Bachelor's degree,1978-10-08,Male,103
95,1,Matthew Lewis,Teacher,Sesotho,Master's degree,1978-10-08,Female,112
96,3,John Dean,Teacher,Accounting,Master's degree,1978-10-08,Male,23
97,1,Amy Wilson,Teacher,Geography,Diploma,1978-10-08,Male,212
98,3,Carolyn Deleon,Teacher,Mathematics,Master's degree,1978-10-08,Female,245
99,2,Cheryl Malone,Teacher,English,Bachelor's degree,1978-10-08,Male,187
100,3,William Kemp,Teacher,History,Bachelor's degree,1978-10-08,Female,92
101,4,Lacey Nelson,Teacher,Accounting,PhD,1978-10-08,Male,301
102,1,Mary Blevins,Teacher,Biology,Master's degree,1978-10-08,Male,317
103,2,Melissa Garrison,Teacher,History,Diploma,1978-10-08,Female,200
104,2,Ryan Walker,Teacher,History,PhD,1978-10-08,Male,52
105,4,Andrea Cohen,Teacher,Biology,Diploma,1978-10-08,Male,192
106,4,Sharon Johnson,Teacher,History,PhD,1978-10-08,Male,75
107,2,Jeffrey Benton,Teacher,Geography,Master's degree,1978-10-08,Male,34
108,3,Glenda Weiss,Teacher,History,Bachelor's degree,1978-10-08,Female,224
109,4,Aaron Davis,Teacher,Physics,PhD,1978-10-08,Female,42
110,1,Nicholas Johnston,Teacher,History,Master's degree,1978-10-08,Female,294
111,1,Mr. Daniel Butler,Teacher,Chemistry,Master's degree,1978-10-08,Female,225
112,2,Billy Flores,Teacher,Chemistry,Master's degree,1978-10-08,Male,136
113,1,Stacie Glover,Teacher,Geography,Diploma,1978-10-08,Male,222
114,4,Mary Rodriguez,Teacher,Accounting,Bachelor's degree,1978-10-08,Male,18
115,2,Morgan Long,Teacher,Physics,Master's degree,1978-10-08,Female,193
116,4,Samantha Lewis,Teacher,History,Diploma,1978-10-08,Female,83
117,3,James Deleon,Teacher,Sesotho,Master's degree,1978-10-08,Female,226
118,1,Jacqueline Hooper,Teacher,History,PhD,1978-10-08,Female,27
119,4,Diane Reed,Teacher,Accounting,Diploma,1978-10-08,Male,278
120,4,Michael Sandoval,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,267
121,3,Susan Lynch,Teacher,English,Bachelor's degree,1978-10-08,Female,15
122,1,Suzanne Mckee,Teacher,Biology,PhD,1978-10-08,Female,177
123,4,Micheal Mack,Teacher,Sesotho,Master's degree,1978-10-08,Male,116
124,4,Luis Rogers,Teacher,Geography,PhD,1978-10-08,Female,267
125,2,Sarah Jones,Teacher,Geography,Diploma,1978-10-08,Male,49
126,2,Ronald Terrell,Teacher,History,Diploma,1978-10-08,Male,145
127,1,Colleen Morse,Teacher,History,PhD,1978-10-08,Male,246
128,1,Jason Robinson,Teacher,Biology,Master's degree,1978-10-08,Female,307
129,3,Breanna Anderson,Teacher,Sesotho,Bachelor's degree,1978-10-08,Male,148
130,3,Jennifer Melendez,Teacher,Biology,Diploma,1978-10-08,Female,179
131,3,Michael Allen,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,233
132,1,Monica Rose,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,300
133,1,Julie White,Teacher,Physics,Bachelor's degree,1978-10-08,Female,181
134,1,Linda Moore,Teacher,Mathematics,PhD,1978-10-08,Male,217
135,1,Lisa Wong,Teacher,English,Master's degree,1978-10-08,Female,231
136,1,Joshua Evans,Teacher,History,PhD,1978-10-08,Female,160
137,2,Jackson Watkins,Teacher,Geography,Master's degree,1978-10-08,Female,316
138,4,Briana Copeland,Teacher,Physics,PhD,1978-10-08,Male,19
139,3,Diane Pham,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,23
140,1,Samantha Moran,Teacher,Physics,PhD,1978-10-08,Male,212
141,2,Tiffany Wilson,Teacher,Chemistry,Diploma,1978-10-08,Male,69
142,4,Stacey Morgan,Teacher,History,PhD,1978-10-08,Male,251
143,2,Joel Weber,Teacher,Sesotho,Bachelor's degree,1978-10-08,Male,295
144,2,Robert Green,Teacher,Chemistry,Bachelor's degree,1978-10-08,Male,253
145,2,Larry Gutierrez,Teacher,Biology,Master's degree,1978-10-08,Male,154
146,1,Michelle Wallace,Teacher,Accounting,PhD,1978-10-08,Female,243
147,2,Amy Calderon,Teacher,Chemistry,Bachelor's degree,1978-10-08,Female,195
148,1,Dawn Carter,Teacher,English,Bachelor's degree,1978-10-08,Male,124
149,2,Thomas Hughes,Teacher,Chemistry,Diploma,1978-10-08,Male,187
150,4,Donna Romero,Teacher,History,Bachelor's degree,1978-10-08,Male,76
151,1,Brittany Jackson,Teacher,Biology,Diploma,1978-10-08,Female,123
152,3,Crystal Burns,Teacher,Geography,PhD,1978-10-08,Female,230
153,2,Amanda Lee,Teacher,English,Bachelor's degree,1978-10-08,Female,272
154,1,Frank Bradford,Teacher,English,Master's degree,1978-10-08,Female,149
155,2,Gabriella Wilson,Teacher,Physics,PhD,1978-10-08,Male,257
156,2,Ryan Carlson,Teacher,Geography,Diploma,1978-10-08,Female,165
157,4,Antonio Parker,Teacher,Biology,Master's degree,1978-10-08,Male,81
158,2,Christine Anderson,Teacher,History,Bachelor's degree,1978-10-08,Male,52
159,2,Amy Young,Teacher,Geography,Bachelor's degree,1978-10-08,Female,147
160,4,Justin Randall,Teacher,History,Diploma,1978-10-08,Female,118
161,2,Alexis Wallace,Teacher,Sesotho,PhD,1978-10-08,Female,315
162,4,Michelle Mitchell,Teacher,History,Bachelor's degree,1978-10-08,Female,227
163,3,Natalie Cain,Teacher,Biology,PhD,1978-10-08,Male,224
164,4,Brandon Lewis PhD,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,251
165,1,Mary Kline,Teacher,Geography,Master's degree,1978-10-08,Female,160
166,4,Nicholas Castillo,Teacher,Geography,Bachelor's degree,1978-10-08,Female,301
167,1,David Morse,Teacher,Geography,Bachelor's degree,1978-10-08,Female,273
168,1,Natalie Smith,Teacher,Biology,Master's degree,1978-10-08,Female,307
169,4,Richard Burns,Teacher,Biology,Master's degree,1978-10-08,Male,84
170,1,Erin Turner,Teacher,History,Diploma,1978-10-08,Male,108
171,4,Connie Long,Teacher,Mathematics,Diploma,1978-10-08,Female,79
172,1,Dawn Cox,Teacher,History,Diploma,1978-10-08,Female,313
173,4,Maria Martinez,Teacher,Physics,Diploma,1978-10-08,Male,192
174,3,Jermaine Gilbert,Teacher,History,PhD,1978-10-08,Male,53
175,4,Michael Phillips,Teacher,Geography,PhD,1978-10-08,Female,155
176,4,Victoria Mendoza,Teacher,English,PhD,1978-10-08,Male,155
177,4,Emily Jackson,Teacher,Physics,Diploma,1978-10-08,Female,42
178,4,Justin Wright,Teacher,Physics,Bachelor's degree,1978-10-08,Female,81
179,1,Linda Nguyen,Teacher,Geography,Master's degree,1978-10-08,Female,78
180,1,Gwendolyn Murphy,Teacher,English,PhD,1978-10-08,Female,181
181,1,Kyle Love,Teacher,History,Bachelor's degree,1978-10-08,Female,185
182,4,Frederick Hernandez,Teacher,English,Bachelor's degree,1978-10-08,Female,75
183,2,Amanda Tate,Teacher,Biology,PhD,1978-10-08,Male,325
184,1,Travis Henson,Teacher,Chemistry,Master's degree,1978-10-08,Female,236
185,1,Sarah Henderson,Teacher,Biology,PhD,1978-10-08,Male,239
186,1,Regina Jimenez,Teacher,Physics,Bachelor's degree,1978-10-08,Female,16
187,1,Sarah Sanchez,Teacher,Chemistry,PhD,1978-10-08,Female,124
188,1,Travis Lane,Teacher,Chemistry,Diploma,1978-10-08,Female,166
189,2,Stacy Mccormick,Teacher,History,Master's degree,1978-10-08,Male,312
190,1,Julie Garcia,Teacher,Accounting,Master's degree,1978-10-08,Male,126
191,1,Rachel Young,Teacher,History,PhD,1978-10-08,Female,177
192,4,Frederick Jones,Teacher,English,PhD,1978-10-08,Female,192
193,3,Yesenia Willis,Teacher,Sesotho,PhD,1978-10-08,Female,26
194,1,Mary Maddox,Teacher,Biology,Master's degree,1978-10-08,Male,209
195,4,Charles Smith,Teacher,Biology,Master's degree,1978-10-08,Male,296
196,1,Amy Flowers,Teacher,History,Diploma,1978-10-08,Male,180
197,3,Natasha Barnett,Teacher,Sesotho,Diploma,1978-10-08,Female,138
198,1,Bernard Young,Teacher,Mathematics,Master's degree,1978-10-08,Female,239
199,3,Jacqueline Hartman,Teacher,Chemistry,Diploma,1978-10-08,Male,256
200,2,Allison Mcdonald,Teacher,History,Master's degree,1978-10-08,Female,96
201,3,Craig Mason,Teacher,Mathematics,Diploma,1978-10-08,Female,29
202,4,Karen Johnson,Teacher,History,Bachelor's degree,1978-10-08,Female,122
203,1,Jesse Ryan,Teacher,Geography,Bachelor's degree,1978-10-08,Female,222
204,3,Jamie Gardner,Teacher,Mathematics,Diploma,1978-10-08,Female,88
205,1,Denise Burton,Teacher,Sesotho,PhD,1978-10-08,Male,150
206,2,Louis Campbell,Teacher,Mathematics,Bachelor's degree,1978-10-08,Male,188
207,1,Alyssa Carrillo,Teacher,Chemistry,PhD,1978-10-08,Male,166
208,4,Marc Garcia,Teacher,Physics,Master's degree,1978-10-08,Female,215
209,1,Zoe Parker,Teacher,History,Diploma,1978-10-08,Female,238
210,1,Laura Johnson,Teacher,Sesotho,PhD,1978-10-08,Female,111
211,3,Erin Herring,Teacher,History,Master's degree,1978-10-08,Male,21
212,1,Teresa Torres,Teacher,Biology,Bachelor's degree,1978-10-08,Male,108
213,2,Stephanie Anderson,Teacher,Accounting,PhD,1978-10-08,Female,169
214,4,Jacob Rios,Teacher,English,PhD,1978-10-08,Female,81
215,3,Rachael Perkins,Teacher,Geography,Diploma,1978-10-08,Female,134
216,1,Matthew Rogers,Teacher,History,Diploma,1978-10-08,Male,217
217,2,Susan Fields,Teacher,Chemistry,Master's degree,1978-10-08,Female,145
218,4,Brian Parker,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,186
219,1,Mckenzie Nelson,Teacher,Biology,Diploma,1978-10-08,Male,109
220,1,Dr. Toni Phillips,Teacher,Accounting,Master's degree,1978-10-08,Male,176
221,2,Joshua Gross,Teacher,History,PhD,1978-10-08,Male,52
222,1,Roberto Brown,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,126
223,1,Tonya King,Teacher,Accounting,PhD,1978-10-08,Male,59
224,2,Michael Barnett,Teacher,Accounting,Diploma,1978-10-08,Female,274
225,1,Michelle Olson,Teacher,Physics,Bachelor's degree,1978-10-08,Female,176
226,1,William Thornton,Teacher,Geography,Master's degree,1978-10-08,Male,106
227,2,Michelle Cameron,Teacher,Physics,PhD,1978-10-08,Female,201
228,1,Angel Mcdonald,Teacher,English,Master's degree,1978-10-08,Female,216
229,3,Stephen Wilson,Teacher,Chemistry,PhD,1978-10-08,Female,26
230,1,Chloe Hatfield,Teacher,Mathematics,PhD,1978-10-08,Female,107
231,2,Barry Leonard,Teacher,Biology,Bachelor's degree,1978-10-08,Female,253
232,1,Aaron Castaneda,Teacher,Physics,Diploma,1978-10-08,Female,225
233,1,Edward Hudson,Teacher,Mathematics,PhD,1978-10-08,Female,166
234,3,William Alvarado,Teacher,Physics,PhD,1978-10-08,Male,119
235,1,Elizabeth Davis,Teacher,Mathematics,PhD,1978-10-08,Male,107
236,3,Willie Woods,Teacher,Biology,PhD,1978-10-08,Male,230
237,3,Geoffrey Garrett,Teacher,Geography,Master's degree,1978-10-08,Female,218
238,1,Brianna James,Teacher,Physics,Diploma,1978-10-08,Male,279
239,2,Melissa Green,Teacher,Mathematics,Master's degree,1978-10-08,Male,195
240,2,Nicholas Christian,Teacher,History,Master's degree,1978-10-08,Female,265
241,1,Daniel Garner,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,22
242,3,Lucas Krause,Teacher,History,PhD,1978-10-08,Male,92
243,4,Harold Graham,Teacher,Physics,Master's degree,1978-10-08,Female,114
244,1,Matthew Wilson,Teacher,Mathematics,Bachelor's degree,1978-10-08,Male,160
245,4,Jennifer Chen,Teacher,History,Master's degree,1978-10-08,Male,251
246,2,Kayla Baker,Teacher,English,PhD,1978-10-08,Female,65
247,4,Jordan Hobbs,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,183
248,1,Vanessa Villegas,Teacher,Chemistry,Diploma,1978-10-08,Male,126
249,2,Christina Wilson,Teacher,Chemistry,Master's degree,1978-10-08,Male,6
250,2,Kathleen Haas,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,132
251,1,Christine Acosta,Teacher,Biology,Diploma,1978-10-08,Male,163
252,1,Tamara Schmidt,Teacher,Geography,Diploma,1978-10-08,Female,264
253,1,Jessica Adams,Teacher,Sesotho,Diploma,1978-10-08,Female,176
254,1,Phillip Glover,Teacher,Accounting,Master's degree,1978-10-08,Female,217
255,4,Michael Martinez,Teacher,Accounting,Diploma,1978-10-08,Female,183
256,4,Jennifer Wells,Teacher,Biology,Bachelor's degree,1978-10-08,Female,162
257,4,Luis Smith,Teacher,Sesotho,Master's degree,1978-10-08,Male,167
258,2,Amanda Baker,Teacher,Geography,Master's degree,1978-10-08,Male,265
259,2,Elaine Fleming,Teacher,Accounting,Bachelor's degree,1978-10-08,Female,221
260,2,Bruce Jackson,Teacher,Mathematics,Bachelor's degree,1978-10-08,Male,103
261,3,Thomas Adams,Teacher,Mathematics,PhD,1978-10-08,Female,318
262,2,James Robbins,Teacher,Mathematics,Master's degree,1978-10-08,Female,295
263,3,Whitney Medina,Teacher,History,Master's degree,1978-10-08,Male,67
264,1,Ashley Jackson,Teacher,History,Diploma,1978-10-08,Female,54
265,3,Raymond Chung,Teacher,Biology,Master's degree,1978-10-08,Male,7
266,2,Brianna Price,Teacher,Physics,Diploma,1978-10-08,Male,31
267,2,Eric Robinson,Teacher,Mathematics,PhD,1978-10-08,Male,190
268,2,Scott Schmitt,Teacher,Chemistry,PhD,1978-10-08,Male,136
269,2,Tyler Duncan,Teacher,History,Bachelor's degree,1978-10-08,Male,31
270,1,Nathan Hahn,Teacher,English,Diploma,1978-10-08,Male,239
271,1,Robert Estrada,Teacher,History,Master's degree,1978-10-08,Male,235
272,4,Justin Leon,Teacher,History,Diploma,1978-10-08,Male,258
273,1,Michael Morales,Teacher,Geography,Master's degree,1978-10-08,Female,105
274,4,Nancy Jones,Teacher,Accounting,Master's degree,1978-10-08,Female,118
275,3,Corey Foster,Teacher,Physics,Bachelor's degree,1978-10-08,Female,202
276,3,Ian Archer,Teacher,Chemistry,PhD,1978-10-08,Male,219
277,2,Mr. Aaron Garrett V,Teacher,History,Bachelor's degree,1978-10-08,Male,204
278,1,Christopher Shea,Teacher,Chemistry,Master's degree,1978-10-08,Female,17
279,2,Tracy Thornton,Teacher,Geography,Master's degree,1978-10-08,Female,20
280,2,Debra Pitts,Teacher,Sesotho,Diploma,1978-10-08,Female,190
281,3,Valerie Reilly,Teacher,Accounting,Master's degree,1978-10-08,Female,230
282,3,Adam Franco,Teacher,Mathematics,PhD,1978-10-08,Male,67
283,2,Luis Lawrence,Teacher,History,Diploma,1978-10-08,Male,221
284,3,Charles Goodman,Teacher,English,PhD,1978-10-08,Male,263
285,1,Cristina Pace,Teacher,Sesotho,PhD,1978-10-08,Female,100
286,1,Eric Lee,Teacher,Sesotho,Master's degree,1978-10-08,Female,235
287,1,Sonya Chapman,Teacher,History,Master's degree,1978-10-08,Female,143
288,3,Larry Gutierrez,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,318
289,2,Christopher Phillips,Teacher,Sesotho,Master's degree,1978-10-08,Female,306
290,2,Michele Baker,Teacher,Physics,PhD,1978-10-08,Male,52
291,1,Timothy Simmons,Teacher,Geography,Bachelor's degree,1978-10-08,Male,43
292,1,Julie Higgins,Teacher,Mathematics,Diploma,1978-10-08,Female,254
293,1,Erin Thompson,Teacher,Accounting,Master's degree,1978-10-08,Female,17
294,2,Samuel Martin,Teacher,History,Master's degree,1978-10-08,Female,147
295,2,David Parker,Teacher,Accounting,Master's degree,1978-10-08,Male,91
296,2,Juan Barr,Teacher,Geography,PhD,1978-10-08,Female,193
297,3,Stephanie Gibson,Teacher,Biology,Diploma,1978-10-08,Female,15
298,1,Christina Rogers,Teacher,Accounting,Master's degree,1978-10-08,Female,212
299,1,Douglas Daniels,Teacher,Chemistry,Master's degree,1978-10-08,Male,252
300,1,James Henry,Teacher,Sesotho,Master's degree,1978-10-08,Female,236
301,2,Samantha Nguyen,Teacher,Geography,Diploma,1978-10-08,Female,87
302,1,James Jones,Teacher,History,Diploma,1978-10-08,Male,112
303,4,Jennifer Arnold,Teacher,Geography,PhD,1978-10-08,Male,251
304,1,David Lynch,Teacher,History,Diploma,1978-10-08,Male,300
305,1,Clayton Cunningham,Teacher,Geography,Bachelor's degree,1978-10-08,Male,314
306,1,Brian Martin,Teacher,Accounting,Master's degree,1978-10-08,Female,176
307,4,Scott Martinez,Teacher,Mathematics,PhD,1978-10-08,Female,260
308,3,Patricia Hernandez,Teacher,Physics,Diploma,1978-10-08,Male,12
309,1,Joseph Watts,Teacher,Mathematics,PhD,1978-10-08,Female,1
310,1,Kim Johnson,Teacher,Chemistry,Master's degree,1978-10-08,Female,322
311,4,Jennifer Richardson,Teacher,Biology,Bachelor's degree,1978-10-08,Male,142
312,2,Jeremy Pace,Teacher,Mathematics,Bachelor's degree,1978-10-08,Male,270
313,2,Wesley Campbell,Teacher,Chemistry,PhD,1978-10-08,Female,197
314,4,Natasha Gaines,Teacher,Geography,Bachelor's degree,1978-10-08,Male,75
315,3,Allison Chambers,Teacher,English,Master's degree,1978-10-08,Male,21
316,4,Daniel Parker,Teacher,Sesotho,Bachelor's degree,1978-10-08,Male,19
317,4,Brian Johnson,Teacher,English,PhD,1978-10-08,Male,66
318,3,Patricia Taylor,Teacher,Accounting,PhD,1978-10-08,Male,47
319,2,William Davis,Teacher,Accounting,Diploma,1978-10-08,Male,164
320,1,Matthew Tran,Teacher,Geography,Master's degree,1978-10-08,Female,238
321,1,Tina Gomez,Teacher,Sesotho,PhD,1978-10-08,Female,246
322,1,Justin Davis,Teacher,History,Bachelor's degree,1978-10-08,Female,63
323,1,Andrew Edwards,Teacher,History,PhD,1978-10-08,Female,166
324,1,Sandra Wright,Teacher,History,Diploma,1978-10-08,Male,150
325,1,Debra Martinez,Teacher,History,Diploma,1978-10-08,Male,246
326,1,Jason Nelson,Teacher,Biology,Bachelor's degree,1978-10-08,Female,159
327,1,Noah Ruiz,Teacher,English,PhD,1978-10-08,Male,123
328,4,Ashley Jackson,Teacher,Sesotho,Master's degree,1978-10-08,Female,120
329,1,Samuel Parrish,Teacher,Geography,Bachelor's degree,1978-10-08,Male,293
330,4,Zachary Roberts,Teacher,Biology,Master's degree,1978-10-08,Female,73
331,2,Katherine Moreno,Teacher,Chemistry,Diploma,1978-10-08,Female,104
332,2,Christina Baker,Teacher,Sesotho,Diploma,1978-10-08,Male,308
333,2,Barry Gonzalez,Teacher,Accounting,Master's degree,1978-10-08,Female,305
334,3,Sabrina Sexton,Teacher,Chemistry,PhD,1978-10-08,Male,121
335,1,Stephanie Morrison,Teacher,Mathematics,PhD,1978-10-08,Female,166
336,3,Patty Steele,Teacher,Chemistry,PhD,1978-10-08,Female,129
337,1,Alyssa Bray,Teacher,Sesotho,PhD,1978-10-08,Female,323
338,1,Alexander Castillo,Teacher,Physics,Master's degree,1978-10-08,Female,323
339,1,Barry Walker,Teacher,Chemistry,Master's degree,1978-10-08,Female,323
340,3,Mary Stewart,Teacher,Accounting,Master's degree,1978-10-08,Female,318
341,4,Jose Spence,Teacher,Accounting,PhD,1978-10-08,Female,61
342,3,Lori Melendez,Teacher,English,PhD,1978-10-08,Female,151
343,2,Tommy Kerr,Teacher,Sesotho,Diploma,1978-10-08,Male,190
344,2,Julie Williams,Teacher,Chemistry,Bachelor's degree,1978-10-08,Male,9
345,1,Sierra Miller,Teacher,Chemistry,Master's degree,1978-10-08,Female,243
346,1,Leslie May,Teacher,Mathematics,Diploma,1978-10-08,Female,185
347,2,Garrett Zavala,Teacher,Physics,Master's degree,1978-10-08,Male,145
348,2,Nathan Smith,Teacher,Geography,PhD,1978-10-08,Female,37
349,3,Kevin Scott,Teacher,Physics,PhD,1978-10-08,Male,287
350,2,Virginia Hamilton,Teacher,Sesotho,Bachelor's degree,1978-10-08,Male,306
351,1,Roy Bruce,Teacher,Accounting,PhD,1978-10-08,Male,220
352,2,Sherry Edwards,Teacher,Mathematics,Bachelor's degree,1978-10-08,Male,91
353,1,Michael Hardy,Teacher,Geography,PhD,1978-10-08,Male,254
